iptv_id,channel_name,epg_id,epg_name,provider,match
AndTV.in,&TV,2024,And TV,jiotv,exact
AndxplorHD.in,&xplor HD,1668,And Xplor HD,jiotv,exact
10TV.in,10 TV,832,10 TV,jiotv,exact
22ScopeNews.in,22Scope News,2082,22Scope News,jiotv,exact
24News.in,24 News,sun202222,24 News,sunnxt,exact
4SiDESTV.in,4 SiDES TV,3529,4 SiDES TV,jiotv,exact
6TVTelugu.in,6 TV Telugu,,,,none
7SMusic.in,7S Music,,,,none
9PlusNews.in,9 Plus News,,,,none
9XJalwa.in,9X Jalwa,440,9X Jalwa,jiotv,exact
9XJhakaas.in,9X Jhakaas,441,9x Jhakaas,jiotv,exact
9XTashan.in,9X Tashan,732,9X Tashan,jiotv,exact
9XM.in,9XM,587,9XM,jiotv,exact
AadinathTV.in,Aadinath TV,2002,Aadinath TV,jiotv,exact
AajKiKhabar.in,Aaj Ki Khabar,2773,Aaj Ki Khabar,jiotv,exact
AajTak.in,Aaj Tak,173,Aaj Tak,jiotv,exact
AakaashAath.in,Aakaash Aath,698,Aakash Aath,jiotv,fuzzy
AamarBangla.in,Aamar Bangla,1962,Amar Bangla TV,jiotv,fuzzy
AaryaaTV.in,Aaryaa TV,3395,Aaryaa TV,jiotv,exact
AaseervathamTV.in,Aaseervatham TV,,,,none
Aastha.in,Aastha,175,Aastha,jiotv,exact
AasthaBhajan.in,Aastha Bhajan,594,Aastha Bhajan,jiotv,exact
AasthaGujarati.in,Aastha Gujarati,1255,Aastha Gujarati,jiotv,exact
AasthaKannada.in,Aastha Kannada,1256,Aastha Kannada,jiotv,exact
AasthaPrime1.in,Aastha Prime 1,,,,none
AasthaTamil.in,Aastha Tamil,,,,none
AasthaTelugu.in,Aastha Telugu,1254,Aastha Telugu,jiotv,exact
AathavanTV.uk,Aathavan TV,,,,none
ABNAndhraJyoti.in,ABN Andhra Jyoti,666,ABN Andhra Jyothi,jiotv,fuzzy
ABPAnanda.in,ABP Ananda,672,ABP Ananda,jiotv,exact
ABPAsmita.in,ABP Asmita,641,ABP Asmita,jiotv,exact
ABPGanga.in,ABP Ganga,1205,ABP Ganga,jiotv,exact
ABPMajha.in,ABP Majha,612,ABP Majha,jiotv,exact
ABPNews.in,ABP News,177,ABP News India,jiotv,exact
AdhyatmTV.in,Adhyatm TV,1901,Adhyatma TV,jiotv,fuzzy
AKDCalcuttaNews.in,AKD Calcutta News,,,,none
AkhonKolkata.in,Akhon Kolkata,3439,Akhon kolkata,jiotv,exact
AlankarTV.in,Alankar TV,686,Alankar,jiotv,filler
AllTimeMovies.in,All Time Movies,ts1321,ALL Time MOVIES,tataplay,exact
AmarUjala.in,AmarUjala,3483,Amar Ujala,jiotv,exact
AmritaTV.in,Amrita TV,723,Amrita TV,jiotv,exact
AnandTV.in,Anand TV,3294,Anand TV,jiotv,exact
AnandWariTV.in,Anand Wari TV,,,,none
AnandaBarta.in,Ananda Barta,1796,Ananda Barta,jiotv,exact
ANBNews.in,ANB News,1287,ANB News,jiotv,exact
AndyHaryana.in,Andy Haryana,,,,none
AngelTV.in,Angel TV,835,Angel TV HD,jiotv,exact
AnjanTV.in,Anjan TV,919,Anjan TV,jiotv,exact
APN.in,APN,,,,none
ApnaPunjabTV.ca,Apna Punjab TV,,,,none
AradanaTV.in,Aradana TV,777,Aradhana TV,jiotv,fuzzy
ArgusNews.in,Argus News,1481,Argus News,jiotv,exact
ArputharYesuTV.in,Arputhar Yesu TV,,,,none
AryanTVNational.in,Aryan TV National,1761,Aryan TV National,jiotv,exact
AsianNews.in,Asian News,2777,Asian News,jiotv,exact
Asianet.in,Asianet,443,Asianet HD,jiotv,exact
AsianetMiddleEast.in,Asianet Middle East,,,,none
AsianetMovies.in,Asianet Movies,459,Asianet Movies HD,jiotv,exact
AsianetNews.in,Asianet News,180,Asianet News,jiotv,exact
AsianetSuvarnaNews.in,Asianet Suvarna News,,,,none
AsomLive24.in,Asom Live 24,2022,Asom Live 24,jiotv,exact
AssamTalks.in,Assam Talks,675,Assam Talks,jiotv,exact
AwaazIndiaTV.in,Awaaz India TV,3332,Awaaz India TV,jiotv,exact
AwakeningTV.in,Awakening TV,1175,Awakening,jiotv,filler
AyushTV.in,Ayush TV,1075,Ayush TV,jiotv,exact
B4UBhojpuri.in,B4U Bhojpuri,1296,B4U Bhojpuri,jiotv,exact
B4UKadak.in,B4U Kadak,1295,B4U Kadak,jiotv,exact
B4UMovies.in,B4U Movies,182,B4U Movies,jiotv,exact
B4UMusic.in,B4U Music,183,B4U Music,jiotv,exact
BadaKhabar.in,Bada Khabar,1692,Badakhabar,jiotv,exact
BalleBalle.in,Balle Balle,1453,Balle Balle TV,jiotv,exact
BansalNews.in,Bansal News,1179,Bansal News,jiotv,exact
BhagyamTV.in,Bhagyam TV,3358,Bhagyam TV,jiotv,exact
BhakthiSiri.in,Bhakthi Siri,3107,Bhakthi Siri,jiotv,exact
BhakthiTV.in,Bhakthi TV,776,Bhakti TV,jiotv,fuzzy
BhaktiSagar.in,Bhakti Sagar,939,Bhakti Sagar TV,jiotv,exact
BharatExpress.in,Bharat Express,2353,Bharat Express,jiotv,exact
BharatSamachar.in,Bharat Samachar,918,Bharat Samachar,jiotv,exact
Bharat24.in,Bharat24,2079,Bharat 24,jiotv,exact
BhojpuriCinema.in,Bhojpuri Cinema,486,Bhojpuri Cinema,jiotv,exact
BIGTV.in,BIG TV,2783,Big TV,jiotv,exact
BigTV24x7.in,Big TV 24x7,,,,none
Bollygold.in,Bollygold,3338,NH BollyGold,jiotv,fuzzy
BoogleBollywood.in,Boogle Bollywood,962,Boogle Bollywood,jiotv,exact
BRKNews.in,BRK News,1263,BRK News,jiotv,exact
BTTV.in,BT TV,,,,none
BVG.in,BVG,3048,BVG,jiotv,exact
Captain.in,Captain,3069,Captain,jiotv,exact
CCV.in,CCV,,,,none
ChannelDivya.in,Channel Divya,,,,none
ChannelWIN.in,Channel WIN,605,Channel Win,jiotv,exact
ChardiklaGurbaaniTV.in,Chardikla Gurbaani TV,,,,none
ChardiklaTimeTV.in,Chardikla Time TV,517,Chardikla Time TV,jiotv,exact
ChardiklaTimeTVNorthAmerica.in,Chardikla Time TV North America,,,,none
CNBCAwaaz.in,CNBC Awaaz,190,CNBC Awaaz,jiotv,exact
CNBCBajar.in,CNBC Bajar,490,CNBC Bajar,jiotv,exact
CNBCTV18.in,CNBC TV18,489,CNBC TV18,jiotv,exact
CNBCTV18PrimeHD.in,CNBC TV18 Prime HD,143,CNBC TV18 Prime,jiotv,exact
CnewsBharat.in,Cnews Bharat,1670,C News Bharat,jiotv,exact
Colors.in,Colors,1368,Colors SD,jiotv,exact
ColorsBangla.in,Colors Bangla,756,Colors Bangla HD,jiotv,exact
ColorsCineplexBollywood.in,Colors Cineplex Bollywood,1763,Colors Cineplex Bollywood,jiotv,exact
ColorsGujarati.in,Colors Gujarati,196,Colors Gujarati,jiotv,exact
ColorsKannada.in,Colors Kannada,757,Colors Kannada HD,jiotv,exact
ColorsMarathi.in,Colors Marathi,755,Colors Marathi HD,jiotv,exact
ColorsMENA.in,Colors MENA,,,,none
ColorsRishteyAmericas.in,Colors Rishtey Americas,,,,none
ColorsSuper.in,Colors Super,785,Colors Super,jiotv,exact
ColorsTamil.in,Colors Tamil,1371,Colors Tamil,jiotv,exact
CTVNAKDPlus.in,CTVN AKD Plus,1260,Ctvn Akd Plus,jiotv,exact
CVREnglish.in,CVR English,787,CVR English,jiotv,exact
CVRHealth.in,CVR Health,774,CVR Health,jiotv,exact
CVRNews.in,CVR News,784,CVR News,jiotv,exact
CVROMSpiritual.in,CVR OM Spiritual,772,CVR OM Spiritual,jiotv,exact
DailyPostTV.in,Daily Post TV,,,,none
Dangal2.in,Dangal 2,ts194,Dangal 2,tataplay,exact
DangalTV.in,Dangal TV,701,Dangal,jiotv,filler
Darshan24.in,Darshan 24,611,Darshan 24,jiotv,exact
DarshanaTV.in,Darshana TV,,,,none
DDArunPrabha.in,DD Arun Prabha,1328,DD Arunprabha,jiotv,exact
DDBangla.in,DD Bangla,690,DD Bangla,jiotv,exact
DDBihar.in,DD Bihar,539,DD Bihar,jiotv,exact
DDChandana.in,DD Chandana,713,DD9 chandana (kannada),jiotv,fuzzy
DDIndia.in,DD India,528,DD India,jiotv,exact
DDJharkhand.in,DD Jharkhand,,,,none
DDKashir.in,DD Kashir,716,DD Kashir,jiotv,exact
DDKisan.in,DD Kisan,583,DD Kisan,jiotv,exact
DDMadhyaPradesh.in,DD Madhya Pradesh,536,DD Madhya Pradesh,jiotv,exact
DDNational.in,DD National,202,DD National,jiotv,exact
DDNews.in,DD News,203,DD News,jiotv,exact
DDOdia.in,DD Odia,,,,none
DDRajasthan.in,DD Rajasthan,538,DD Rajasthan (Jaipur),jiotv,exact
DDSports.in,DD Sports,204,DD Sports,jiotv,exact
DDUrdu.in,DD Urdu,712,DD urdu,jiotv,exact
DeewanaHD.in,Deewana HD,,,,none
DesiChannel.in,Desi Channel,906,Desi Channel,jiotv,exact
Dhamaal.in,Dhamaal,,,,none
DharsanTV.in,Dharsan TV,3357,Dharsan TV,jiotv,exact
DheeranTV.in,Dheeran TV,,,,none
DhoolTV.in,Dhool TV,,,,none
DhoomMusic.in,Dhoom Music,,,,none
DishaTV.in,Disha TV,599,Disha tv,jiotv,exact
DisneyChannel.in,Disney Channel,1373,Disney Channel,jiotv,exact
DisneyInternationalHD.in,Disney International HD,1375,Disney International HD,jiotv,exact
DivyavaniTV.in,Divyavani TV,934,Divya Vani,jiotv,filler
DocuBayTV.in,DocuBay TV,3402,DocuBay,jiotv,filler
DY365.in,DY 365,633,DY 365,jiotv,exact
E24.in,E 24,591,E 24,jiotv,exact
EVidya10.in,E-Vidya 10,,,,none
EVidya11.in,E-Vidya 11,,,,none
EVidya12.in,E-Vidya 12,,,,none
EVidya4.in,E-Vidya 4,,,,none
EVidya5.in,E-Vidya 5,,,,none
EVidya6.in,E-Vidya 6,,,,none
EVidya7.in,E-Vidya 7,,,,none
EVidya8.in,E-Vidya 8,,,,none
EVidya9.in,E-Vidya 9,,,,none
EkamraBharatOdia.in,Ekamra Bharat Odia,,,,none
Enterr10Bangla.in,Enterr 10 Bangla,,,,none
EpicBharat.in,Epic Bharat,3383,Epic Bharat,jiotv,exact
EpicBhojpuri.in,Epic Bhojpuri,3384,EPIC Bhojpuri,jiotv,exact
EpicCrimes.in,Epic Crimes,,,,none
EpicKids.in,Epic Kids,3385,Gubbare,jiotv,exact
EpicMusic.in,Epic Music,,,,none
EpicTV.in,Epic TV,3382,EPIC TV,jiotv,exact
ETNow.in,ET Now,212,ET Now,jiotv,exact
ETVAndhraPradesh.in,ETV Andhra Pradesh,614,ETV Andhra pradesh,jiotv,exact
ETVBalBharat.in,ETV Bal Bharat,,,,none
ETVBeats.in,ETV Beats,,,,none
ETVCinema.in,ETV Cinema,1665,ETV Cinema HD,jiotv,exact
ETVComedy.in,ETV Comedy,,,,none
ETVJosh.in,ETV Josh,,,,none
ETVLife.in,ETV Life,570,ETV Life,jiotv,exact
ETVMusic.in,ETV Music,,,,none
ETVNews.in,ETV News,,,,none
ETVPlus.in,ETV Plus,2956,ETV Plus HD,jiotv,exact
ETVTelangana.in,ETV Telangana,630,ETV Telangana,jiotv,exact
ETVTelugu.in,ETV Telugu,629,ETV Telugu,jiotv,exact
FaktMarathi.in,Fakt Marathi,738,Fakt Marathi,jiotv,exact
Fast1.in,Fast1,3354,Fast1,jiotv,exact
FatehTV.in,Fateh TV,1174,Fateh TV,jiotv,exact
FirstIndiaNews.in,First India News,927,First India News,jiotv,exact
FoodFood.in,Food Food,561,Food Food,jiotv,exact
FriendsTV.in,Friends TV,2354,Friends TV,jiotv,exact
GangaurTV.in,Gangaur TV,2077,Gangaur,jiotv,filler
GlobalPunjab.in,Global Punjab,2019,Global Punjab,jiotv,exact
Goldmines.in,Goldmines,ts823,Goldmines,tataplay,exact
Goldmines2.in,Goldmines 2,ts823,Goldmines,tataplay,fuzzy
GoldminesAction.in,Goldmines Action,,,,none
GoldminesBollywood.in,Goldmines Bollywood,,,,none
GoldminesMovies.in,Goldmines Movies,ts1499,Goldmines Movies,tataplay,exact
GoodNewsToday.in,Good News Today,502,Good News Today,jiotv,exact
GoodnessTV.in,Goodness TV,1388,Goodness,jiotv,filler
